uuid,created,updated,queued,units,status,time,ingestion_time
92fe59e7-eae0-4ba9-bf74-22a82f2c2c83,2020-02-15 22:46:41,2020-02-15 22:47:00,2020-02-15 22:46:42,mm,completed,7547,2023-03-06 20:44:56.249047
0dd8b940-6b35-4ed5-a981-ce05e0734b4f,2020-05-13 14:17:10,2020-05-13 14:17:11,2020-05-13 14:17:10,mm,completed,1187,2023-03-06 20:44:56.249047
9691095c-d562-4bda-813f-7dbe7398d686,2022-02-16 16:27:18,2022-02-16 16:27:19,2022-02-16 16:27:18,mm,completed,1228.0,2023-03-06 20:44:56.249047
66102ac6-37a3-45b7-97dd-56d02b6ac651,2021-05-17 16:42:08,2021-05-17 16:42:10,2021-05-17 16:42:08,mm,completed,1967,2023-03-06 20:44:56.249047
2c9d084c-dd69-4aff-8b85-a50d0f657372,2019-11-01 05:34:37,2019-11-01 05:34:43,2019-11-01 05:34:37,mm,completed,6024,2023-03-06 20:44:56.249047
08808a1c-8284-4669-b9a4-101ccba63321,2020-06-26 04:06:49,2020-06-26 04:07:22,2020-06-26 04:06:49,mm,completed,32887,2023-03-06 20:44:56.249047
31650884-4f6c-45af-936c-9c23e37aa6d9,2022-06-13 15:59:47,2022-06-13 15:59:49,2022-06-13 15:59:47,mm,completed,1918.0,2023-03-06 20:44:56.249047
92ef13a8-173c-408c-a454-f841f2870086,2022-08-18 23:56:24,2022-08-18 23:56:35,2022-08-18 23:56:24,mm,completed,9591.0,2023-03-06 20:44:56.249047
fbec6b7d-78fb-4283-abca-de31989cf9d6,2022-10-26 10:45:52,2022-10-26 10:45:59,2022-10-26 10:45:52,mm,completed,6761,2023-03-06 20:44:56.249047
ed9a1f5d-b8c3-419c-89cc-e20f81ce6c13,2021-04-22 12:31:45,2021-06-12 16:30:24,2021-06-12 16:30:23,mm,completed,966,2023-03-06 20:44:56.249047
9086afd0-86f4-4a6c-876a-ef3a1f9963c3,2022-12-13 20:56:01,2022-12-13 20:58:55,2022-12-13 20:56:01,cm,completed,59949,2023-03-06 20:44:56.249047
75686e24-4ace-4ff3-91d2-9bbf7b4593b0,2020-02-03 10:56:50,2020-02-03 10:56:51,2020-02-03 10:56:50,mm,completed,585,2023-03-06 20:44:56.249047
5b068c5e-63ed-4489-9217-f1bf4a2a0d1b,2023-01-09 09:01:28,2023-01-09 09:01:31,2023-01-09 09:01:28,mm,completed,3331,2023-03-06 20:44:56.249047
6b031872-73fa-4939-a6c6-1ac12d5a4671,2021-02-03 16:55:49,2021-02-03 16:55:52,2021-02-03 16:55:49,mm,completed,3832,2023-03-06 20:44:56.249047
82481dd0-7cd9-453b-a342-42af2dfae8d5,2019-11-19 12:19:14,2019-11-19 12:19:19,2019-11-19 12:19:15,mm,completed,3322,2023-03-06 20:44:56.249047
6972e73e-8bfd-460e-9fe0-b38e171a3c02,2021-06-22 14:20:45,2021-06-22 14:20:58,2021-06-22 14:20:45,mm,completed,12774,2023-03-06 20:44:56.249047
723460db-7a8d-4f31-830e-8f7a151d3fe0,2019-04-15 14:30:40,2019-04-15 14:30:45,2019-04-15 14:30:40,mm,completed,5268,2023-03-06 20:44:56.249047
2b265c1b-7607-4ab0-958b-afd72b94b3fe,2021-05-31 20:31:43,2021-05-31 20:31:45,2021-05-31 20:31:43,mm,completed,1521,2023-03-06 20:44:56.249047
81003240-d385-410d-afba-b51127a5c6f0,2022-02-28 20:12:12,2022-02-28 20:12:13,2022-02-28 20:12:12,mm,completed,870,2023-03-06 20:44:56.249047
96a61176-f726-4408-b0c7-a826013b9f43,2022-02-08 09:58:53,2022-02-08 09:59:14,2022-02-08 09:58:53,mm,completed,20793,2023-03-06 20:44:56.249047
431f6f49-b3a6-4024-b0fe-1534662ae5af,2020-04-03 08:08:02,2020-04-03 08:08:06,2020-04-03 08:08:05,cm,completed,2727,2023-03-06 20:44:56.249047
9bc27117-c5b2-4eee-b8c9-0a9d7f0e3e2a,2022-09-09 21:02:44,2022-09-09 21:02:51,2022-09-09 21:02:44,mm,completed,6617,2023-03-06 20:44:56.249047
884a5c1a-d27b-4ced-8cee-24d4a603aa14,2019-10-14 15:07:03,2019-10-14 15:07:08,2019-10-14 15:07:03,mm,completed,4168,2023-03-06 20:44:56.249047
